1.0 -282.4007027000
1.1 -282.6079286170
1.2 -282.7264363730
1.3 -282.7899187000
1.4 -282.8193186330
1.5 -282.8277631810
1.6 -282.8235031350
1.7 -282.8117389880
1.8 -282.7957688290
1.9 -282.7776994450
2.0 -282.7588687740
2.1 -282.7400941090
2.2 -282.7218388670
2.3 -282.7043421830
2.4 -282.6877143390
2.5 -282.6719961670
2.6 -282.6571905640
2.7 -282.6432778980
2.8 -282.6302239860
2.9 -282.6179851490
3.0 -282.6065121940
3.1 -282.5957538430
3.2 -282.5856597770
3.3 -282.5761833000
3.4 -282.5672835510
3.5 -282.5589270850
3.6 -282.5510885280
3.7 -282.5437501180
3.8 -282.5369001280
3.9 -282.5305304590
