-0.12060	0.00672	0.05016	-0.29253	-0.39529	-0.03764	-0.12218	-0.03117	0.06208	0.03069	0.00260	-0.09921
0.04976	0.03047	-0.03659	0.04084	-0.16764	1.48510	-0.25985	-0.63373	-0.33459	0.15218	0.05023	0.14211
-0.04419	0.11536	0.14314	0.08022	0.01696	-0.38511	-0.26927	-0.20032	-0.06547	-0.30903	-0.00360	-0.23095
-0.00788	0.01287	-0.02977	0.03323	0.01663	-0.00925	0.05908	-0.13050	-0.18369	0.15349	-0.00666	0.00025
0.00542	-0.23792	-0.03782	0.09617	-0.08106	0.73322	0.07091	-0.19296	0.14163	0.09721	-0.02115	-0.16104
0.10231	0.01192	-0.04619	-0.04877	-0.04670	1.17851	1.05258	-0.07227	0.56663	-0.42402	-0.13774	1.29262
-0.02872	-0.00490	0.04929	0.03927	0.01790	-1.61749	-0.59297	-1.94636	-0.10015	0.54632	-0.11522	-0.27254
-0.00039	0.00243	-0.01400	0.01473	0.00184	0.06178	0.22520	-0.02821	0.44638	-0.19415	0.01121	-0.04477
-0.02637	-0.00374	0.01991	0.02293	0.01153	5.26650	-0.43032	-0.80924	-0.31383	0.63870	0.12684	-0.21740
-0.00878	0.01316	0.01140	-0.01169	0.00966	-0.66558	-0.38170	-0.05977	0.21293	-0.31360	0.00035	-0.01030
0.00043	-0.00331	-0.00050	-0.00446	0.01102	-0.40353	-0.37655	0.10401	0.18371	0.28031	0.00088	0.01526
0.00408	-0.00316	-0.00810	0.01040	-0.01533	-0.22166	-0.19753	-0.10016	0.01358	0.01545	0.01122	-0.01070
-0.00230	0.00465	0.00652	0.00882	0.00721	0.07246	-0.07030	0.00605	-0.11273	0.21334	0.00086	0.00173
0.01050	-0.02748	0.00350	-0.01124	0.00940	0.28784	0.00489	0.25706	-0.35230	0.20256	0.00518	0.00044
0.00630	-0.00618	-0.01000	-0.00594	-0.01374	0.00374	0.13251	-0.42224	0.22787	-0.00741	0.00108	0.00038
0.00929	0.02381	-0.60265	-0.23017	0.16803	0.32041	0.11899	0.02715	-0.04411	-0.03050	0.00434	0.02210
-0.09857	0.08032	0.00176	-0.01635	0.02569	1.56082	-0.11495	-0.06599	0.17310	0.28969	-0.01377	-0.03589
0.13723	-0.01088	0.18314	-0.01843	0.05672	-0.06073	-0.10395	-0.08081	0.09592	0.14895	0.01774	0.12298
0.03905	-0.03626	-0.09579	-0.02144	-0.08486	0.05685	0.05323	0.06507	-0.02617	-0.09731	-0.00079	0.00886
-0.10145	0.23331	0.07897	-0.14286	0.21382	-0.16035	0.08831	-0.15022	-0.18220	-0.03838	-0.01848	0.09259
-0.13239	0.13716	0.02861	-0.04581	0.08328	-8.40823	-0.78568	0.46599	0.11579	-0.49432	-0.04736	-0.26818
0.11334	-0.00901	0.12147	-0.02627	0.03684	0.41812	0.21581	0.52800	-0.01547	-0.37361	0.02862	0.17387
0.03419	-0.03208	-0.07463	-0.02170	-0.07249	-0.08360	-0.19811	0.13205	-0.19220	0.14590	-0.00211	0.01389
-0.05703	0.13223	0.04432	-0.08639	0.11840	2.63541	-0.11134	-0.33368	0.31819	0.26206	-0.00039	0.19999
-0.00256	0.00499	0.00448	-0.00189	0.00374	1.17803	0.19436	0.16953	0.00952	-0.08114	0.00413	0.00208
-0.00082	0.00556	0.00370	-0.00085	0.00127	1.17279	0.40773	-0.09362	-0.14961	-0.21602	-0.00341	0.01313
0.00584	-0.01478	-0.00270	0.01160	-0.01646	0.34958	0.65852	0.49994	-0.33666	-0.01543	-0.00606	-0.00394
-0.00028	0.00027	0.00015	-0.00012	0.00017	0.08301	-0.04241	-0.12631	0.10483	-0.14661	0.00037	0.00091
-0.00643	-0.00273	-0.01187	-0.00203	-0.00235	-0.01711	-0.15441	0.10932	-0.25659	0.01897	-0.00287	0.00451
-0.00211	0.00180	0.00714	0.00043	0.00477	-0.04879	0.28269	-0.30471	0.15199	-0.01499	0.00043	-0.00069
-0.00931	-0.06853	-0.02773	0.02865	0.06183	-0.27719	0.01404	-0.02186	-0.06105	0.05916	0.00350	-0.00762
0.02179	0.15330	0.06333	-0.06759	-0.13984	-0.94043	-0.12316	-0.26295	0.13079	0.27457	0.00550	-0.00362
-0.02160	-0.31401	-0.01146	-0.18776	0.08927	0.15144	0.11163	0.13177	0.05904	-0.21657	-0.04538	0.18559
-0.08050	0.11991	0.13498	0.20547	0.21842	0.06177	0.16740	0.03947	0.00729	0.04275	0.00338	-0.00053
-0.17080	-0.07895	0.13065	-0.11967	0.15329	0.06618	-0.07117	0.06130	0.02790	-0.01981	-0.05126	0.02415
0.01762	0.17447	0.02020	-0.00665	-0.16734	5.60069	-0.01182	1.13554	0.05588	-0.99413	-0.02891	0.14894
-0.00183	-0.19084	-0.00939	-0.11675	0.04298	-1.97497	-0.27606	-0.35983	0.21294	-0.25763	-0.13709	0.43410
