0.00000	-0.32653	0.20382	-0.22020	-0.10156	-0.06644	-0.01700	-0.27992	-0.00162	-0.11571
-0.00044	0.04308	-0.14235	-0.09051	0.04206	-0.29743	0.14380	1.27853	-0.49490	-0.33425
-0.00024	-0.01629	-0.06991	-0.14011	0.07653	-0.11607	-0.30417	-0.13544	0.06115	-0.03720
0.00000	0.07590	0.04685	-0.04271	-0.04201	0.06979	-0.04608	-0.11363	0.16782	0.18061
0.00017	0.02061	0.06670	-0.10936	0.15009	0.12231	0.23674	0.05337	-0.39112	0.09454
0.00018	0.02472	-0.01648	0.05127	-0.08217	-4.33465	0.95407	1.70755	1.17638	1.24830
-0.00005	-0.00732	0.01830	-0.03141	0.01646	-3.65730	-0.09840	-2.48782	0.50545	-1.36247
0.00001	0.03473	0.01871	-0.01818	-0.02161	-0.04197	-0.10735	-0.01807	-0.32170	-0.12783
-0.00063	-0.00368	0.00065	-0.02873	0.03575	-2.48265	-0.33619	0.89534	-0.21942	-0.14519
0.00013	0.00930	-0.00744	0.01064	-0.00344	-0.18406	-0.17530	-1.12128	0.34103	-0.48361
0.00005	-0.00146	0.01092	0.01108	-0.00751	0.15866	-0.07439	-1.05461	-0.11082	-0.32888
0.00005	-0.00468	-0.00570	-0.01400	0.00439	-0.27228	-0.21670	-0.99652	0.06913	-0.04278
0.00000	0.00187	0.00482	0.00005	-0.00288	0.13465	0.03823	-0.04705	-0.01171	0.00976
-0.00008	0.00229	0.03169	0.01000	-0.01887	0.06298	0.42333	0.18189	-0.12599	0.32733
0.00000	0.00442	-0.00342	-0.00017	-0.00422	0.09716	-0.19102	-0.23701	-0.18024	0.17022
0.00032	-0.34173	0.11825	0.14531	-0.12883	-0.30318	0.09188	0.15930	-0.00744	-0.04628
-0.00005	-0.14681	-0.05976	-0.09577	0.14207	-0.87431	0.08024	0.51525	-0.06735	-0.25807
0.00004	0.00472	0.17706	-0.03231	-0.23068	-0.12378	-0.11514	-0.05924	0.00191	-0.09840
0.00000	0.09059	0.01257	-0.03530	-0.06212	-0.03135	-0.11835	-0.02314	0.02886	-0.03118
-0.00003	-0.11121	0.01296	0.12888	-0.08707	0.08013	0.01930	-0.15736	-0.07765	0.05811
0.00049	-0.17244	-0.04969	-0.05943	0.11662	6.35469	-0.92332	-2.82394	0.11970	0.54548
0.00004	0.00598	0.13104	-0.00946	-0.18555	1.00669	0.10103	0.62863	-0.12820	0.36302
-0.00001	0.06235	0.00337	-0.02250	-0.04457	-0.03120	0.24366	0.14490	0.08060	-0.00299
-0.00010	-0.06684	0.00322	0.06954	-0.04144	-1.72037	0.11532	0.50684	-0.17034	-0.01577
-0.00003	-0.00097	0.00001	0.00189	-0.00154	-1.17735	0.49356	0.63491	-0.09767	-0.02174
0.00000	-0.00030	-0.00239	0.00108	-0.00234	-0.87436	0.26790	0.56812	-0.14528	-0.48691
-0.00001	0.00739	-0.00451	-0.01254	0.01028	-0.69309	0.25171	0.55128	0.26197	-0.22895
0.00000	0.00007	-0.00002	0.00012	0.00009	0.06217	0.03240	-0.16879	0.02605	0.05025
-0.00007	0.00061	-0.00631	0.00569	0.00962	-0.15300	0.16935	-0.05153	-0.08283	-0.09716
0.00000	-0.00804	-0.00222	0.00355	0.00516	0.03523	-0.08344	-0.13828	-0.14263	0.19299
-0.99460	-0.05742	0.07696	0.01451	0.05920	-0.15001	0.27285	-0.22948	0.06180	-0.05692
-0.02122	0.13029	-0.17078	-0.02783	-0.14087	-1.02220	0.07381	-0.70212	0.21336	-0.24709
0.00010	0.09751	0.22669	0.13836	-0.02501	0.14034	-0.19236	-0.06614	-0.01120	-0.02557
0.00001	0.05952	0.13555	-0.04129	-0.04677	-0.03286	-0.02182	0.05238	-0.10077	0.18703
-0.00129	0.06745	-0.00839	-0.00142	0.25637	-0.19043	0.09147	-0.05552	0.04947	-0.03559
-0.00440	0.10402	-0.20165	-0.05908	-0.10973	4.41738	-2.59561	4.06227	-1.40597	1.37597
0.00018	0.06464	0.13580	0.08988	-0.03342	-1.07924	0.04659	-0.71706	0.52593	0.11244
0.00000	0.03831	0.10118	-0.02727	-0.03099	0.01368	0.03535	-0.05705	0.18410	-0.17449
