.0000298116 .0010407076 .0000009604 .0007160976 .0002614689 .0002128681 .0026224641 .0000080656 .0000067600 .0098426241
.0001272384 .0036012001 .0000058564 .0021362884 .0010368400 .0000994009 .0036144144 .0016434916 .0025230529 .0201952521
.0008088336 .0222755625 .0000222784 .0218862436 .0057668836 .0006461764 .0031438449 .0001500625 .0000129600 .0533379025
.0012559936 .0000041616 .0272151009 .0000116964 .0000251001 .2124103744 .0066178225 .0122146704 .0000443556 .0000000625
.0009351364 .0546671161 .0000146689 .0102010000 .0029474041 .0006380676 .0119355625 .0005997601 .0004473225 .0259338816
.0005513104 .0214476025 .0000318096 .0347710609 .0070761744 .0466862449 .4340569689 .0950118976 .0189723076 1.6708664644
.0002572816 .0101203600 .0000703921 .0000591361 .0003059001 .0016152361 .0240219001 .0020866624 .0132756484 .0742780516
.0005198400 .0000008649 .0087235600 .0000039601 .0000042436 .4103811721 .0169806961 .0324684361 .0001256641 .0020043529
.0001058841 .0010458756 .0000007744 .0042863209 .0027050401 .0049801249 .0077774761 .0008608356 .0160883856 .0472627600
.0000003721 .0007027801 .0000007396 .0000063504 .0000127449 .0000011664 .0003671056 .0001731856 .0000001225 .0001060900
.0000001936 .0000047524 .0000000009 .0000213444 .0000015376 .0000008649 .0000664225 .0000074529 .0000007744 .0002328676
.0000007396 .0003389281 .0000000784 .0000062500 .0000009409 .0000058081 .0000156025 .0001008016 .0001258884 .0001144900
.0000519841 .0000049284 .0002140369 .0000040804 .0000041616 .0000743044 .0000007056 .0000002116 .0000007396 .0000029929
.0000492804 .0001155625 .0000004624 .0030569841 .0003602404 .0000001600 .0000249001 .0000004225 .0000268324 .0000001936
.0000041616 .0000000064 .0021687649 .0000035721 .0000053824 .0004778596 .0000116964 .0000122500 .0000011664 .0000001444
.0000001024 .0001127844 .0000001225 .0000072361 .0000009604 .0000214369 .0004502884 .0001575025 .0000188356 .0004884100
.0000017161 .0007579009 .0000037249 .0000662596 .0000451584 .0002325625 .0017181025 .0008392609 .0001896129 .0012880921
.0001175056 .0877344400 .0000864900 .2036536384 .0172659600 .0002362369 .0005202961 .0064112049 .0003147076 .0151240804
.0014409616 .0000003721 .2133238969 .0001164241 .0000602176 .1045810921 .0033189121 .0062315236 .0000006241 .0000784996
.0004901796 .0534256996 .0000139129 .0031337604 .0007431076 .0001503076 .0003736489 .0006395841 .0003415104 .0085729081
.0001437601 .0025542916 .0000008649 .0000308025 .0003090564 .0004545424 .0459973809 .0185804161 .0022429696 .0719205124
.0000290521 .0382867489 .0000281961 .1258972324 .0120472576 .0003345241 .0000194481 .0031516996 .0008191044 .0302307769
.0005764801 .0000008649 .1231869604 .0001144900 .0000783225 .2051999401 .0068260644 .0126450025 .0000044521 .0001929321
.0003348900 .0226291849 .0000082369 .0020430400 .0002343961 .0006980164 .0123432100 .0066161956 .0000001521 .0399960001
.0000021904 .0000195364 .0000003136 .0000041209 .0000002916 .0000001936 .0000546121 .0000223729 .0000170569 .0000043264
.0000012100 .0000257049 0 .0000012544 .0000005184 .0000000225 .0000693889 .0000000576 .0000116281 .0001723969
.0000035721 .0002169729 .0000001024 .0000469225 .0000135424 .0000173889 .0001357225 .0000505521 .0000367236 .0000155236
.0000002304 .0000001600 .0000000324 .0000001849 .0000002025 .0000114921 .0000001936 .0000005776 .0000001369 .0000008281
.0000023409 .0003667225 .0000003025 .0003207681 .0000183184 .0000006724 .0000204304 .0000018769 .0000082369 .0000203401
.0000098596 .0000000324 .0011669056 .0000003600 .0000001024 .0000319225 .0000009604 .0000022201 .0000001849 .0000004761
.0002518569 .0011628100 .0000001444 .0004541161 .0001042441 .0000960400 .0064336441 .0004280761 .0000122500 .0000580644
.0015280281 .0063186601 .0000025600 .0013010449 .0003323329 .0000284089 .0073444900 .0015178816 .0000302500 .0000131044
.0029333056 .0017397241 .0000007921 .0218093824 .0030547729 .0000209764 .0138203536 .0017816841 .0020593444 .0344436481
