# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      85       0        4.6385938500
      84       0        4.5331266500
      83       0        4.3109709300
      82       0        4.1863146800
      81       0        4.1570048300
      80       0        3.3863981200
      79       0        3.2960723500
      78       0        3.1102475100
      77       0        3.0022486800
      76       0        2.9925287300
      75       0        2.9251640200
      74       0        2.8237194500
      73       0        2.7069982700
      72       0        2.7029383700
      71       0        2.6786420500
      70       0        2.5542123000
      69       0        2.4762311100
      68       0        2.4208199500
      67       0        2.3598178700
      66       0        2.2445467700
      65       0        2.2188187300
      64       0        2.1698072800
      63       0        2.1544936000
      62       0        2.0849195800
      61       0        2.0440125500
      60       0        1.8812720300
      59       0        1.8733873600
      58       0        1.7929278700
      57       0        1.7706038700
      56       0        1.7318202900
      55       0        1.6920745600
      54       0        1.6710749600
      53       0        1.5411788500
      52       0        1.4020571800
      51       0        1.3706946900
      50       0        1.3168454700
      49       0        1.2875288000
      48       0        1.2317605700
      47       0        1.2136758500
      46       0        1.1991114800
      45       0        1.1890875300
      44       0        1.1676819300
      43       0        1.1190312800
      42       0        1.1082698900
      41       0        1.0675738100
      40       0        1.0502566300
      39       0        1.0126991300
      38       0        0.9787892520
      37       0        0.9730168980
      36       0        0.8691331210
      35       0        0.8606586490
      34       0        0.8432956410
      33       0        0.8122270010
      32       0        0.7438788690
      31       0        0.6905626270
      30       0        0.5166906140
      29       0        0.4895350710
      28       0        0.4109908820
      27       0        0.3149087560
      26       0        0.3104676840
      25       0        0.2717536980
      24       0        0.2491599700
      23       0        0.2186853400
      22       0        0.2084192340
      21       0        0.0716786604
      20       1       -0.3375683940
      19       1       -0.4151291200
      18       1       -0.4851327000
      17       1       -0.5235193630
      16       1       -0.5909044440
      15       1       -0.6246274420
      14       1       -0.6417546550
      13       1       -0.6494712760
      12       1       -0.6809709940
      11       1       -0.7008576000
      10       1       -0.8368965210
       9       1       -0.8979113730
       8       1       -1.2018594500
       7       1       -1.3684654100
       6       1       -1.4728829600
       5       1      -11.3343822000
       4       1      -11.4022898000
       3       1      -15.5650856000
       2       1      -20.5667459000
       1       1      -20.6205809000
